,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
13,Number of women age 15-49,All women,FE_FRTY_W_UPG,,FE_FRTY_W_NPG,,11803030,,,,D,0,Number of women age 15-49,Fertility,Fertility,Women,Number,0,,FEFRTYWNPG,Number of women age 15-49,
14,Number of women age 15-49 (unweighted),All women,,FE_FRTY_W_NPG,FE_FRTY_W_UPG,,11803040,,,,U,0,Number of women age 15-49 (unweighted),Fertility,Fertility,Women,Number,0,,FEFRTYWUPG,Number of women age 15-49 (unweighted),
15,Mean number of children ever born to women age 40-49 ,All women age 40-49,FE_FRTY_W_U49,FE_FRTY_W_N49,FE_FRTY_W_MNC,,11803050,,,,I,0,Completed fertility of women age 40-49,Fertility,Fertility,Women,Mean,1,,FEFRTYWMNC,Mean number of children ever born to women age 40-49 ,
16,Number of women age 40-49,All women age 40-49,FE_FRTY_W_U49,,FE_FRTY_W_N49,,11803060,,,,D,0,Number of women age 40-49,Fertility,Fertility,Women,Number,0,,FEFRTYWN49,Number of women age 40-49,
17,Number of women age 40-49 (unweighted),All women age 40-49,,FE_FRTY_W_N49,FE_FRTY_W_U49,,11803070,,,,U,0,Number of women age 40-49 (unweighted),Fertility,Fertility,Women,Number,0,,FEFRTYWU49,Number of women age 40-49 (unweighted),
18,"Age-specific fertility rates for five-year periods preceding the survey for age group 10-14 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A10,,11833005,,,,I,0,Age specific fertility rate: 10-14 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA10,ASFR 10-14,
19,"Age-specific fertility rates for five-year periods preceding the survey for age group 15-19 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A15,21165001,11833010,,,,I,0,Age specific fertility rate: 15-19 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA15,ASFR 15-19,
20,"Age-specific fertility rates for five-year periods preceding the survey for age group 20-24 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A20,21165002,11833020,,,,I,0,Age specific fertility rate: 20-24 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA20,ASFR 20-24,
21,"Age-specific fertility rates for five-year periods preceding the survey for age group 25-29 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A25,21165003,11833030,,,,I,0,Age specific fertility rate: 25-29 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA25,ASFR 25-29,
22,"Age-specific fertility rates for five-year periods preceding the survey for age group 30-34 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A30,21165004,11833040,,,,I,0,Age specific fertility rate: 30-34 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA30,ASFR 30-34,
23,"Age-specific fertility rates for five-year periods preceding the survey for age group 35-39 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A35,21165005,11833050,,,,I,0,Age specific fertility rate: 35-39 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA35,ASFR 35-39,
24,"Age-specific fertility rates for five-year periods preceding the survey for age group 40-44 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A40,21165006,11833060,,,,I,0,Age specific fertility rate: 40-44 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA40,ASFR 40-44,
25,"Age-specific fertility rates for five-year periods preceding the survey for age group 45-49 per 1,000 women",Per thousand women years exposed in the period,,,FE_FRTT_W_A45,21165007,11833070,,,,I,0,Age specific fertility rate: 45-49 (five year periods),Fertility,Fertility trends,Women,Rate,0,,FEFRTTWA45,ASFR 45-49,
26,Percentage of women with no children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH0,25174000,11863010,,,FE_CEBA_W_TOT,I,0,Women with no children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH0,0,
27,Percentage of women with 1 child ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH1,25174001,11863020,,,FE_CEBA_W_TOT,I,0,Women with 1 child ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH1,1,
28,Percentage of women with 2 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH2,25174002,11863030,,,FE_CEBA_W_TOT,I,0,Women with 2 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH2,2,
29,Percentage of women with 3 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH3,25174003,11863040,,,FE_CEBA_W_TOT,I,0,Women with 3 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH3,3,
30,Percentage of women with 4 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH4,25174004,11863050,,,FE_CEBA_W_TOT,I,0,Women with 4 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH4,4,
31,Percentage of women with 5 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH5,25174005,11863060,,,FE_CEBA_W_TOT,I,0,Women with 5 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH5,5,
32,Percentage of women with 6 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH6,25174006,11863070,,,FE_CEBA_W_TOT,I,0,Women with 6 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH6,6,
33,Percentage of women with 7 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH7,25174007,11863080,,,FE_CEBA_W_TOT,I,0,Women with 7 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH7,7,
34,Percentage of women with 8 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH8,25174008,11863090,,,FE_CEBA_W_TOT,I,0,Women with 8 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH8,8,
35,Percentage of women with 9 children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_CH9,25174009,11863100,,,FE_CEBA_W_TOT,I,0,Women with 9 children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWCH9,9,
36,Percentage of women with 10+ children ever born,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_C10,25174010,11863110,,,FE_CEBA_W_TOT,I,0,Women with 10+ children ever born,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWC10,10+,
37,Percentage of women: Total,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_TOT,25149000,11863120,,,,T,0,Women: Total,Fertility,Children ever born to all women,Women,Percent,1,,FECEBAWTOT,Total,
38,Number of women,All women,FE_CEBA_W_UNW,,FE_CEBA_W_NUM,25149001,11863130,,,,D,0,Number of women,Fertility,Children ever born to all women,Women,Number,0,,FECEBAWNUM,Number of women,
39,Number of women (unweighted),All women,,FE_CEBA_W_NUM,FE_CEBA_W_UNW,,11863140,,,,U,0,Number of women (unweighted),Fertility,Children ever born to all women,Women,Number,0,,FECEBAWUNW,Number of women (unweighted),
40,Mean number of children ever born for all women,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_MNC,125173000,11863150,,,,I,0,Mean number of children ever born,Fertility,Children ever born to all women,Women,Mean,2,,FECEBAWMNC,Mean number of children ever born,77
41,Mean number of living children for all women,All women,FE_CEBA_W_UNW,FE_CEBA_W_NUM,FE_CEBA_W_MNL,125173001,11863160,,,,I,0,Mean number of living children,Fertility,Children ever born to all women,Women,Mean,2,,FECEBAWMNL,Mean number of living children,77
42,Percentage of currently married or in union women with no children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH0,25174000,11903010,,,FE_CEBM_W_TOT,I,0,Married women with no children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH0,0,
43,Percentage of currently married or in union women with 1 child ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH1,25174001,11903020,,,FE_CEBM_W_TOT,I,0,Married women with 1 child ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH1,1,
44,Percentage of currently married or in union women with 2 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH2,25174002,11903030,,,FE_CEBM_W_TOT,I,0,Married women with 2 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH2,2,
45,Percentage of currently married or in union women with 3 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH3,25174003,11903040,,,FE_CEBM_W_TOT,I,0,Married women with 3 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH3,3,
46,Percentage of currently married or in union women with 4 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH4,25174004,11903050,,,FE_CEBM_W_TOT,I,0,Married women with 4 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH4,4,
47,Percentage of currently married or in union women with 5 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH5,25174005,11903060,,,FE_CEBM_W_TOT,I,0,Married women with 5 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH5,5,
48,Percentage of currently married or in union women with 6 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH6,25174006,11903070,,,FE_CEBM_W_TOT,I,0,Married women with 6 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH6,6,
49,Percentage of currently married or in union women with 7 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH7,25174007,11903080,,,FE_CEBM_W_TOT,I,0,Married women with 7 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH7,7,
50,Percentage of currently married or in union women with 8 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH8,25174008,11903090,,,FE_CEBM_W_TOT,I,0,Married women with 8 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH8,8,
51,Percentage of currently married or in union women with 9 children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_CH9,25174009,11903100,,,FE_CEBM_W_TOT,I,0,Married women with 9 children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWCH9,9,
52,Percentage of currently married or in union women with 10+ children ever born,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_C10,25174010,11903110,,,FE_CEBM_W_TOT,I,0,Married women with 10+ children ever born,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWC10,10+,
53,Percentage of currently married or in union women: Total,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_TOT,25149000,11903120,,,,T,0,Married women: Total,Fertility,Children ever born to currently married women,Women,Percent,1,,FECEBMWTOT,Total,
54,Number of currently married or in union women,Currently married women,FE_CEBM_W_UNW,,FE_CEBM_W_NUM,25149001,11903130,,,,D,0,Number of married women,Fertility,Children ever born to currently married women,Women,Number,0,,FECEBMWNUM,Number of currently married women,
55,Number of currently married or in union women (unweighted),Currently married women,,FE_CEBM_W_NUM,FE_CEBM_W_UNW,,11903140,,,,U,0,Number of married women (unweighted),Fertility,Children ever born to currently married women,Women,Number,0,,FECEBMWUNW,Number of currently married women (unweighted),
56,Mean number of children ever born for currently married or in union women,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_MNC,125173000,11903150,,,,I,0,Mean number of children ever born to married women,Fertility,Children ever born to currently married women,Women,Mean,2,,FECEBMWMNC,Mean number of children ever born to currently married women,
57,Mean number of living children for for currently married or in union women,Currently married women,FE_CEBM_W_UNW,FE_CEBM_W_NUM,FE_CEBM_W_MNL,125173001,11903160,,,,I,0,Mean number of living children to married women,Fertility,Children ever born to currently married women,Women,Mean,2,,FECEBMWMNL,Mean number of living children to currently married women,
58,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 7-17 months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I07,26172000,11936010,,,FE_BINT_C_TOT,I,0,Previous birth interval: 7-17 months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI07,7-17,
59,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 18-23 months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I18,26172001,11936020,,,FE_BINT_C_TOT,I,0,Previous birth interval: 18-23 months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI18,18-23,
60,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 24-35 months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I24,26172002,11936030,,,FE_BINT_C_TOT,I,0,Previous birth interval: 24-35 months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI24,24-35,
61,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 36-47 months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I36,26172003,11936040,,,FE_BINT_C_TOT,I,0,Previous birth interval: 36-47 months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI36,36-47,
62,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 48-59 months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I48,,11936050,,,FE_BINT_C_TOT,I,0,Previous birth interval: 48-59 months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI48,48-59,
63,Percentage of non-first births in the five years preceding the survey whose previous birth interval is 60+ months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I60,,11936060,,,FE_BINT_C_TOT,I,0,Previous birth interval: 60+ months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI60,60+,
64,Percentage of non-first births in the five years preceding the survey: Total,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_TOT,26149000,11936070,,,,T,0,Previous birth interval: Total,Fertility,Birth intervals,Children,Percent,1,,FEBINTCTOT,Total,
65,Number of non-first births in the five years preceding the survey,Non-first births,FE_BINT_C_UNW,,FE_BINT_C_NUM,26149001,11936080,,,,D,0,Number of non-first births,Fertility,Birth intervals,Children,Number,0,,FEBINTCNUM,Number of non-first births,
66,Number of non-first births in the five years preceding the survey (unweighted),Non-first births,,FE_BINT_C_NUM,FE_BINT_C_UNW,,11936090,,,,U,0,Number of non-first births (unweighted),Fertility,Birth intervals,Children,Number,0,,FEBINTCUNW,Number of non-first births (unweighted),
67,Median duration of the preceding birth interval in months for non-first births in the five years preceding the survey,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_MED,126156001,11936100,,,,I,0,Median birth interval (months),Fertility,Birth intervals,Children,Median,1,,FEBINTCMED,Median number of months since preceding birth,
68,Percentage of non-first births in the five years preceding the survey whose previous birth interval is less than 36 months,Non-first births,FE_BINT_C_UNW,FE_BINT_C_NUM,FE_BINT_C_I3Y,,11936110,,,,I,0,Previous birth interval: <36 months,Fertility,Birth intervals,Children,Percent,1,,FEBINTCI3Y,<36 months,
69,Percentage of births in the 2 years preceding the survey of birth order 1,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_BO1,,11946010,,,FE_BORD_C_TOT,I,0,Births of birth order 1,Fertility,Birth order,Children,Percent,1,,FEBORDCBO1,Birth order 1,
70,Percentage of births in the 2 years preceding the survey of birth order 2,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_BO2,,11946020,,,FE_BORD_C_TOT,I,0,Births of birth order 2,Fertility,Birth order,Children,Percent,1,,FEBORDCBO2,Birth order 2,
71,Percentage of births in the 2 years preceding the survey of birth order 3,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_BO3,,11946030,,,FE_BORD_C_TOT,I,0,Births of birth order 3,Fertility,Birth order,Children,Percent,1,,FEBORDCBO3,Birth order 3,
72,Percentage of births in the 2 years preceding the survey of birth order 4,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_BO4,,11946040,,,FE_BORD_C_TOT,I,0,Births of birth order 4,Fertility,Birth order,Children,Percent,1,,FEBORDCBO4,Birth order 4,
73,Percentage of births in the 2 years preceding the survey of birth order 5+,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_BO5,,11946050,,,FE_BORD_C_TOT,I,0,Births of birth order 5+,Fertility,Birth order,Children,Percent,1,,FEBORDCBO5,Birth order 5,
74,Percentage of births in the 2 years preceding the survey: Total,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_TOT,,11946060,,,,T,0,Births in the 2 years preceding the survey: Total,Fertility,Birth order,Children,Percent,1,,FEBORDCTOT,Total,
75,Number of births in the 2 years preceding the survey,Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_NUM,,11946070,,,,D,0,Number of births in the 2 years preceding the survey,Fertility,Birth order,Children,Number,0,,FEBORDCNUM,Number of births,
76,Number of births in the 2 years preceding the survey (Unweighted),Births in the 2 years preceding the survey,FE_BORD_C_UNW,FE_BORD_C_NUM,FE_BORD_C_UNW,,11946080,,,,U,0,Number of births in the 2 years preceding the survey (Unweighted),Fertility,Birth order,Children,Number,0,,FEBORDCUNW,Number of births (Unweighted),
77,Percentage of births whose mothers are postpartum amenorrheic,Births in the period,FE_PPIS_W_UNW,FE_PPIS_W_NUM,FE_PPIS_W_AMN,59226000,11963010,,,,I,0,Postpartum amenorrheic,Fertility,Postpartum insusceptibility,Women,Percent,1,,FEPPISWAMN,Births for which mother is amenorrheic,
78,Percentage of births whose mothers are postpartum abstaining,Births in the period,FE_PPIS_W_UNW,FE_PPIS_W_NUM,FE_PPIS_W_ABS,59226001,11963020,,,,I,0,Postpartum abstaining,Fertility,Postpartum insusceptibility,Women,Percent,1,,FEPPISWABS,Births for which mother is abstaining,
79,Percentage of births whose mothers are postpartum insusceptible,Births in the period,FE_PPIS_W_UNW,FE_PPIS_W_NUM,FE_PPIS_W_INS,59226002,11963030,,,,I,0,Postpartum insusceptible,Fertility,Postpartum insusceptibility,Women,Percent,1,,FEPPISWINS,Births for which mother is insusceptible,
80,Number of births,Births in the period,FE_PPIS_W_UNW,,FE_PPIS_W_NUM,59226003,11963040,,,,D,0,Number of births,Fertility,Postpartum insusceptibility,Women,Number,0,,FEPPISWNUM,Number of births,
81,Number of births (unweighted),Births in the period,,FE_PPIS_W_NUM,FE_PPIS_W_UNW,,11963050,,,,U,0,Number of births (unweighted),Fertility,Postpartum insusceptibility,Women,Number,0,,FEPPISWUNW,Number of births (unweighted),
82,Mean number of months of postpartum amenorrheic,Births in the 3 years preceding the survey,FE_PPIS_W_UNW,FE_PPIS_W_NUM,FE_PPIS_W_MNA,113228000,11963090,,,,I,0,Mean duration postpartum amenorrheic,Fertility,Postpartum insusceptibility,Women,Mean,1,,FEPPISWMNA,Mean duration of amenorrhea,
83,Mean number of months of postpartum abstaining,Births in the 3 years preceding the survey,FE_PPIS_W_UNW,FE_PPIS_W_NUM,FE_PPIS_W_MNB,113228001,11963100,,,,I,0,Mean duration postpartum abstaining,Fertility,Postpartum insusceptibility,Women,Mean,1,,FEPPISWMNB,Mean duration of abstinence,
84,Mean number of months of postpartum insusceptible (either still amenorrheic or still abstaining following the birth),Births in the 3 years preceding the survey,FE_PPIS_W_UNW,FE_PPIS_W_NUM,FE_PPIS_W_MNI,113228002,11963110,,,,I,0,Mean duration postpartum insusceptible,Fertility,Postpartum insusceptibility,Women,Mean,1,,FEPPISWMNI,Mean duration of insusceptibility,
85,Median number of months of postpartum amenorrheic,Births in the 3 years preceding the survey,,,FE_PPID_W_MDA,112227000,12003010,,,,I,0,Median duration postpartum amenorrheic,Fertility,Postpartum insusceptibility duration,Women,Median,1,,FEPPIDWMDA,Median duration of amenorrhea,
86,Median number of months of postpartum abstaining,Births in the 3 years preceding the survey,,,FE_PPID_W_MDB,112227001,12003020,,,,I,0,Median duration postpartum abstaining,Fertility,Postpartum insusceptibility duration,Women,Median,1,,FEPPIDWMDB,Median duration of abstinence,
87,Median number of months of postpartum insusceptible (either still amenorrheic or still abstaining following the birth),Births in the 3 years preceding the survey,,,FE_PPID_W_MDI,112227002,12003030,,,,I,0,Median duration postpartum insusceptible,Fertility,Postpartum insusceptibility duration,Women,Median,1,,FEPPIDWMDI,Median duration of insusceptibility,
88,"Percentage of women age 30-49 menopausal, defined as women who are not pregnant and not postpartum amenorrheic whose last menstrual period occurred 6 or more months preceding the survey",Women age 30-49,FE_MENO_W_UNW,FE_MENO_W_NUM,FE_MENO_W_PCT,61230000,12033010,,,,I,0,Women age 30-49 menopausal,Fertility,Menopause,Women,Percent,1,,FEMENOWPCT,Menopausal,
89,Number of women age 30-49,Women age 30-49,FE_MENO_W_UNW,,FE_MENO_W_NUM,61230001,12033020,,,,D,0,Number of women age 30-49,Fertility,Menopause,Women,Number,0,,FEMENOWNUM,Number of women age 30-49,
90,Number of women age 30-49 (unweighted),Women age 30-49,,FE_MENO_W_NUM,FE_MENO_W_UNW,,12033030,,,,U,0,Number of women age 30-49 (unweighted),Fertility,Menopause,Women,Number,0,,FEMENOWUNW,Number of women age 30-49 (unweighted),
91,Percentage of women who gave birth by age 15,All women,FE_BBAG_W_UNW,FE_BBAG_W_NUM,FE_BBAG_W_A15,27167001,12063010,,,,I,0,Women giving birth by age 15,Fertility,First birth by exact age,Women,Percent,1,,FEBBAGWA15,15,
92,Percentage of women who gave birth by age 18,All women,FE_BBAG_W_UNW,FE_BBAG_W_NUM,FE_BBAG_W_A18,27167002,12063020,,,,I,0,Women giving birth by age 18,Fertility,First birth by exact age,Women,Percent,1,,FEBBAGWA18,18,7
93,Percentage of women who gave birth by age 20,All women,FE_BBAG_W_UNW,FE_BBAG_W_NUM,FE_BBAG_W_A20,27167003,12063030,,,,I,0,Women giving birth by age 20,Fertility,First birth by exact age,Women,Percent,1,,FEBBAGWA20,20,
94,Percentage of women who gave birth by age 22,All women,FE_BBAG_W_UNW,FE_BBAG_W_NUM,FE_BBAG_W_A22,27167004,12063040,,,,I,0,Women giving birth by age 22,Fertility,First birth by exact age,Women,Percent,1,,FEBBAGWA22,22,
95,Percentage of women who gave birth by age 25,All women,FE_BBAG_W_UNW,FE_BBAG_W_NUM,FE_BBAG_W_A25,27167005,12063050,,,,I,0,Women giving birth by age 25,Fertility,First birth by exact age,Women,Percent,1,,FEBBAGWA25,25,
96,Percentage of women who never gave birth,All women,FE_BBAG_W_UNW,FE_BBAG_W_NUM,FE_BBAG_W_NEV,27167000,12063060,,,,I,0,Women who never gave birth,Fertility,First birth by exact age,Women,Percent,1,,FEBBAGWNEV,Never gave birth,
